[INFO] 2025-09-06 12:33:21,369 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:34:07,356 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\log_analyzer\settings.py changed, reloading.
[INFO] 2025-09-06 12:34:07,821 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:35:01,911 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\auth_views.py changed, reloading.
[INFO] 2025-09-06 12:35:02,402 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:35:09,028 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\auth_views.py changed, reloading.
[INFO] 2025-09-06 12:35:09,484 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:35:15,092 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\auth_views.py changed, reloading.
[INFO] 2025-09-06 12:35:15,541 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:35:20,129 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\auth_views.py changed, reloading.
[INFO] 2025-09-06 12:35:20,596 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:35:25,255 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\database_permission_views.py changed, reloading.
[INFO] 2025-09-06 12:35:25,676 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:35:29,229 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\database_permission_views.py changed, reloading.
[INFO] 2025-09-06 12:35:29,679 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:35:34,315 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\database_permission_views.py changed, reloading.
[INFO] 2025-09-06 12:35:34,733 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:35:35,517 | django.server | log_message:213 | "GET / HTTP/1.1" 200 25697
[INFO] 2025-09-06 12:35:39,310 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\database_permission_views.py changed, reloading.
[INFO] 2025-09-06 12:35:39,746 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:35:40,255 | django.server | log_message:213 | "GET /statistics/ HTTP/1.1" 200 39453
[INFO] 2025-09-06 12:35:44,363 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\urls.py changed, reloading.
[INFO] 2025-09-06 12:35:44,863 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:35:50,435 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\urls.py changed, reloading.
[INFO] 2025-09-06 12:35:50,878 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 12:36:08,205 | logs | log_system_event:184 | SYSTEM_EVENT | TEST_SYSTEM_EVENT | Details: Test system event
[INFO] 2025-09-06 12:36:32,008 | django.server | log_message:213 | "GET /statistics/ HTTP/1.1" 200 39861
[INFO] 2025-09-06 12:36:34,579 | django.server | log_message:213 | "GET /manage/users/ HTTP/1.1" 200 24030
[INFO] 2025-09-06 12:36:46,440 | django.server | log_message:213 | "POST /manage/users/bulk-action/ HTTP/1.1" 302 0
[INFO] 2025-09-06 12:36:46,486 | django.server | log_message:213 | "GET /manage/users/ HTTP/1.1" 200 24525
[INFO] 2025-09-06 12:36:52,414 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\log_views.py changed, reloading.
[INFO] 2025-09-06 12:36:52,844 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[ERROR] 2025-09-06 12:36:58,151 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 500 328869
[ERROR] 2025-09-06 12:37:01,683 | django.server | log_message:213 | "GET /manage/logs/stats/ HTTP/1.1" 500 267016
[INFO] 2025-09-06 12:39:21,355 | django.server | log_message:213 | "GET /manage/users/ HTTP/1.1" 200 24030
[ERROR] 2025-09-06 12:39:23,939 | django.server | log_message:213 | "GET /manage/logs/stats/ HTTP/1.1" 500 231828
[ERROR] 2025-09-06 12:39:28,032 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 500 271332
[INFO] 2025-09-06 12:40:47,964 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 200 36848
[INFO] 2025-09-06 12:40:54,004 | django.server | log_message:213 | "GET /manage/logs/?type=security HTTP/1.1" 200 25972
[INFO] 2025-09-06 12:41:05,568 | django.server | log_message:213 | "GET /manage/logs/?type=django_errors HTTP/1.1" 200 31906
[INFO] 2025-09-06 12:41:16,695 | django.server | log_message:213 | "GET /manage/logs/stats/ HTTP/1.1" 200 19939
[INFO] 2025-09-06 12:41:22,303 | django.server | log_message:213 | "GET /manage/logs/download/?type=web_activity HTTP/1.1" 200 12797
[INFO] 2025-09-06 12:41:31,678 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 200 36788
[INFO] 2025-09-06 12:42:01,786 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 200 36875
[INFO] 2025-09-06 12:42:31,862 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 302 0
[INFO] 2025-09-06 12:42:31,872 | django.server | log_message:213 | "GET /auth/login/?next=/manage/logs/ HTTP/1.1" 200 5323
[INFO] 2025-09-06 12:43:56,074 | django.server | log_message:213 | "POST /auth/login/?next=/manage/logs/ HTTP/1.1" 302 0
[INFO] 2025-09-06 12:43:56,130 | django.server | log_message:213 | "GET /manage/logs/ HTTP/1.1" 200 37646
[INFO] 2025-09-06 12:44:03,407 | django.server | log_message:213 | "GET /generate-report/ HTTP/1.1" 200 24528
[INFO] 2025-09-06 12:44:05,747 | django.server | log_message:213 | "GET /log-files/ HTTP/1.1" 200 20120
[INFO] 2025-09-06 12:44:06,399 | django.server | log_message:213 | "GET /abnormal-queries/ HTTP/1.1" 200 23107
[INFO] 2025-09-06 12:47:05,733 | django.server | log_message:213 | "GET / HTTP/1.1" 200 26105
[INFO] 2025-09-06 12:47:06,931 | django.server | log_message:213 | "GET /abnormal-queries/ HTTP/1.1" 200 23107
[INFO] 2025-09-06 12:47:07,826 | django.server | log_message:213 | "GET /generate-report/ HTTP/1.1" 200 24528
